no1,no2
14,60
58,110
60,14
110,58
15,19
19,15
21,47
47,21
117,129
129,117
93,132
132,93
21,130
53,133
75,77
77,75
130,21
133,53
72,125
80,100
97,115
100,80
115,97
125,72
13,70
47,69
58,97
69,47
70,13
97,58
8,111
29,77
33,119
34,111
77,29
77,79
79,77
82,111
99,102
102,99
111,8
111,34
111,82
119,33
14,49
14,91
14,114
27,77
49,14
77,27
91,14
111,133
114,14
117,130
130,117
133,111
0,97
27,64
33,128
64,27
97,0
128,33
0,76
12,29
12,79
23,29
23,79
29,12
29,23
76,0
79,12
79,23
96,122
122,96
42,86
86,42
63,99
81,121
99,63
99,103
103,99
121,81
30,106
106,30
7,52
18,86
27,100
36,50
50,36
52,7
52,120
86,18
100,27
120,52
33,75
75,33
33,70
70,33
12,45
23,45
45,12
45,23
7,12
7,23
8,68
12,7
12,120
14,75
23,7
23,120
33,66
36,58
47,52
52,47
52,125
58,36
62,97
64,69
64,86
66,33
68,8
68,82
69,64
70,128
71,107
75,14
75,101
77,86
82,68
86,64
86,77
97,62
101,75
107,71
120,12
120,23
125,52
128,70
21,56
21,123
56,21
58,80
80,58
123,21
13,125
14,27
20,27
27,14
27,20
27,38
27,46
27,57
38,27
46,27
46,58
57,27
58,46
58,111
86,100
100,86
100,117
111,58
117,100
125,13
7,127
97,130
115,128
120,127
127,7
127,120
128,115
130,97
11,36
11,78
36,11
71,127
78,11
127,71
3,130
83,127
127,83
130,3
12,110
13,42
23,110
42,13
45,80
80,45
110,12
110,23
64,96
70,115
96,64
115,70
58,137
59,86
59,122
77,96
86,59
92,124
96,77
122,59
124,92
137,58
1,27
7,8
7,82
8,7
8,120
11,46
27,1
46,11
82,7
82,120
120,8
120,82
0,70
20,117
38,117
47,56
47,123
56,47
57,117
70,0
106,117
106,122
117,20
117,38
117,57
117,106
122,106
123,47
6,8
6,82
8,6
82,6
7,106
11,70
46,129
52,60
60,52
70,11
86,94
94,86
96,100
100,96
106,7
106,120
120,106
129,46
0,137
98,132
132,98
137,0
50,69
50,117
69,50
75,117
117,50
117,75
0,58
13,60
21,115
46,47
46,125
47,46
47,111
